pid,ssn,name,address,zip,age,sex,weight,height,phone,dob,city,state
3168016604,44044538cb02752acf3a1ca2c99f8f66b4cebc3c9c664c2ba0b5ae9f748addaa,Barbara Davis,"7572, Jefferson, Blvd",67305,102,1,174,184,(433) 850-8185,1922-09-10,New York City,NY
8752913089,c0a9ad34676567006aa63ef4181580efc8d77fd23334e872f3d17908a0fd1006,Susan Davis,"9326, Maple, Pl",79653,81,1,127,169,(930) 160-3565,1943-09-05,Chicago,IL
1135078239,1b0c4f53381cc36cee865faec74d60fbf5b6c3bbed6a9ba1ff9591ebf7b802d4,Sarah Martinez,"1221, Elm, Blvd",26308,98,1,225,162,(571) 153-4616,1926-09-09,Phoenix,AZ
0115102196,b9018ec6720812f9edd755d4d3097790cbb8d4aee7db619ab1c2e2f3215b48a6,Linda Lee,"4274, Spruce, Rd",60124,86,1,259,174,(694) 467-5089,1938-09-06,Houston,TX
1520260072,5d69ac66137fd44a262ec5f782160917a7c146d55f2785f5f3c765e739553a43,Jessica Gonzalez,"1641, River, Pl",22363,104,0,247,156,(801) 668-7540,1920-09-10,Chicago,IL
6347544422,165b1e71e90691878879c2625febcb4b5f4c18d3c9b6713a89fa563e1c130179,Susan Hernandez,"2371, Main, Ave",64335,83,0,195,172,(803) 587-3684,1941-09-05,Chicago,IL
8423795935,86492dd73ffa77508daf8a3e158e41765cb563684cf977deb3656f347d73d2a2,Richard Perez,"8841, Washington, Ave",51347,85,1,158,147,(297) 114-4993,1939-09-06,Phoenix,AZ
9659582430,4b0487ced5f23ed5fc5318ce63e79037f9b953769f4933d6a10339f49c8eb19a,Karen Jones,"9221, Lake, Rd",37128,88,1,130,150,(729) 980-1697,1936-09-06,Phoenix,AZ
3033666201,a1d68e2f33ad825be2f84f3a4bccacbb2011b34ce6a9969b519bc4e0b1b0e1c4,Charles Hernandez,"287, Chestnut, Pl",80753,88,0,266,195,(418) 398-3680,1936-09-06,San Diego,CA
0320938951,8c86162540378344efc009e599f5395b7a8d0e0ca420d94173a7782c2c771ce3,David Johnson,"1455, Washington, Pl",20155,96,1,166,154,(103) 519-5203,1928-09-08,Jacksonville,FL
